id,date,day,month,year,weekday,is_weekend,predicted_demand
7290108356724,6/5/2025,5,6,2025,4,0,1.932543946
7290108357240,6/5/2025,5,6,2025,4,0,1.764013249
7290108357288,6/5/2025,5,6,2025,4,0,4.191832048
7290108357844,6/5/2025,5,6,2025,4,0,1.957950439
7290108359077,6/5/2025,5,6,2025,4,0,1.209898348
7290108359176,6/5/2025,5,6,2025,4,0,1.215154432
7290108359190,6/5/2025,5,6,2025,4,0,1.213051479
8001090184375,6/5/2025,5,6,2025,4,0,1.420332929
8001090184412,6/5/2025,5,6,2025,4,0,4.154420216
8001841625362,6/5/2025,5,6,2025,4,0,1.771917084
8001841893990,6/5/2025,5,6,2025,4,0,1.215033416
8006540429327,6/5/2025,5,6,2025,4,0,4.154178471
8700216163811,6/5/2025,5,6,2025,4,0,4.144957442
8700216236034,6/5/2025,5,6,2025,4,0,1.440499183
8700216236751,6/5/2025,5,6,2025,4,0,1.757914572
4084500088917,6/6/2025,6,6,2025,5,1,8.297904957
4084500853836,6/6/2025,6,6,2025,5,1,8.083395602
7290000286921,6/6/2025,6,6,2025,5,1,3.517962843
7290000288024,6/6/2025,6,6,2025,5,1,8.286792103
7290000288307,6/6/2025,6,6,2025,5,1,3.392318214
7290000288659,6/6/2025,6,6,2025,5,1,3.393269393
7290000292915,6/6/2025,6,6,2025,5,1,4.131132604
7290000294780,6/6/2025,6,6,2025,5,1,8.251312035
7290000295367,6/6/2025,6,6,2025,5,1,3.557492614
7290000295541,6/6/2025,6,6,2025,5,1,3.388390877
7290001246610,6/6/2025,6,6,2025,5,1,3.639296911
7290005424700,6/6/2025,6,6,2025,5,1,4.223479618
7290005425110,6/6/2025,6,6,2025,5,1,4.263287996
7290005425196,6/6/2025,6,6,2025,5,1,3.600298064
7290012116025,6/6/2025,6,6,2025,5,1,4.283603418
7290012117534,6/6/2025,6,6,2025,5,1,3.594356183
7290013268204,6/6/2025,6,6,2025,5,1,3.368168202
7290013268891,6/6/2025,6,6,2025,5,1,3.579959515
7290013269003,6/6/2025,6,6,2025,5,1,3.57992043
7290014397453,6/6/2025,6,6,2025,5,1,3.611626263
7290019274483,6/6/2025,6,6,2025,5,1,3.608574899
7290019274490,6/6/2025,6,6,2025,5,1,3.662569046
7290019611325,6/6/2025,6,6,2025,5,1,3.557595311
7290103702489,6/6/2025,6,6,2025,5,1,8.29203175
7290103703370,6/6/2025,6,6,2025,5,1,8.11377307
7290103704155,6/6/2025,6,6,2025,5,1,8.328340638
7290103704179,6/6/2025,6,6,2025,5,1,8.300615908
7290103704919,6/6/2025,6,6,2025,5,1,8.124406941
7290107280099,6/6/2025,6,6,2025,5,1,3.363973237
7290108351699,6/6/2025,6,6,2025,5,1,4.094644387
7290108352702,6/6/2025,6,6,2025,5,1,3.374998951
7290108356298,6/6/2025,6,6,2025,5,1,4.238532916
7290108356700,6/6/2025,6,6,2025,5,1,3.396284464
7290108356717,6/6/2025,6,6,2025,5,1,3.771856031
7290108356724,6/6/2025,6,6,2025,5,1,4.239364073
7290108357240,6/6/2025,6,6,2025,5,1,3.53005234
7290108357288,6/6/2025,6,6,2025,5,1,8.201760133
7290108357844,6/6/2025,6,6,2025,5,1,4.16118072
7290108359077,6/6/2025,6,6,2025,5,1,3.36779972
7290108359176,6/6/2025,6,6,2025,5,1,3.381676058
7290108359190,6/6/2025,6,6,2025,5,1,3.3850441
8001090184375,6/6/2025,6,6,2025,5,1,3.444430308
8001090184412,6/6/2025,6,6,2025,5,1,8.194144931
8001841625362,6/6/2025,6,6,2025,5,1,3.647777474
8001841893990,6/6/2025,6,6,2025,5,1,3.35965189
